央视频道,#genre#
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226446/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226623/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226306/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226487/index.m3u8?icpid=88888888&servicetype=1
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8?icpid=88888888&servicetype=1
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8?icpid=88888888&servicetype=1
CCTV6,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226485/index.m3u8?icpid=88888888&servicetype=1
CCTV6,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8?icpid=88888888&servicetype=1
CCTV7,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226486/index.m3u8?icpid=88888888&servicetype=1
CCTV7,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=1
CCTV8,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8?icpid=88888888&servicetype=1
CCTV8,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=1
CCTV9,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226482/index.m3u8?icpid=88888888&servicetype=1
CCTV9,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=1
CCTV10,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226483/index.m3u8?icpid=88888888&servicetype=1
CCTV10,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=1
CCTV11,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8?icpid=88888888&servicetype=1
CCTV11,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=1
CCTV12,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226479/index.m3u8?icpid=88888888&servicetype=1
CCTV12,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=1
CCTV13,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8?icpid=88888888&servicetype=1
CCTV13,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=1
CCTV14,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226475/index.m3u8?icpid=88888888&servicetype=1
CCTV14,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226572/index.m3u8?icpid=88888888&servicetype=1
CCTV15,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226478/index.m3u8?icpid=88888888&servicetype=1
CCTV17,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8?icpid=88888888&servicetype=1
CCTV17,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226630/index.m3u8?icpid=88888888&servicetype=1

CCTV1,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226304/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226446/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226499/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226623/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226306/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226466/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226308/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226461/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226303/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226468/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226305/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226487/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=1
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLIV/88888888/224/3221226477/index.m3u8?icpid=88888888&servicetype=1
